"binomial_name","dispersal_syndrome","Reference"
"Anisoptera costata","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Anisoptera costata","Based upon the average weight of 300 air-dry seeds","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Dryobalanops lanceolata","Based upon the average weight of 300 air-dry seeds, adjusted to accord with the value at typica ...","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Hopea nervosa","Weight refers to wet mass of mature seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Parashorea malaanonan","Based upon the average weight of 300 air-dry seeds, adjusted to accord with the value at typica ...","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Shorea leptoderma","Based upon the average weight of 300 air-dry seeds, adjusted to accord with the value at typica ...","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Elaeocarpus stipularis","air dry","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Endospermum diadenum","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Macaranga gigantea","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Macaranga hypoleuca","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Macaranga hypoleuca","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Lithocarpus ewyckii","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Callicarpa longifolia","weights were air-dry seeds","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Callicarpa longifolia","oven dry","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Cinnamomum iners","Fresh weight","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Eusideroxylon zwageri","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Litsea accedens","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Litsea grandis","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Nothaphoebe umbelliflora","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Intsia palembanica","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Parkia speciosa","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Fordia splendidissima","air dry","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Magnolia acuminata","Seed mc not stated","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Magnolia acuminata","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Magnolia acuminata","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Microcos crassifolia","air dry","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Scaphium macropodum","Fresh weight","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Pterygota alata","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Pterygota alata","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Sterculia lanceolata","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Sterculia stipulata","air dry","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Melastoma malabathricum","oven dry","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Melastoma malabathricum","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Aglaia tomentosa","air dry","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Azadirachta excelsa","Based upon the average weight of 300 air-dry seeds","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Dysoxylum cyrtobotryum","air dry","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Antiaris toxicaria","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Antiaris toxicaria","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Antiaris toxicaria","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Artocarpus elasticus","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Artocarpus heterophyllus","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Artocarpus heterophyllus","Fresh weight","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Artocarpus heterophyllus","Mid-point of 1000 seed weight range 11111-22222g; seed mc not stated, but weight is likely to r ...","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Knema latericia","air dry","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Knema laurina","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Myristica cinnamomea","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Ochanostachys amentacea","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Aporosa frutescens","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Baccaurea parviflora","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Baccaurea tetrandra","air dry","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Putranjiva roxburghii","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Prunus polystachya","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Neolamarckia cadamba","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Timonius wallichianus","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Allophylus cobbe","Mean 51.81 ± 0.59 Seed mc 5.25 ± 0.1","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Allophylus cobbe","Mean 74.8 ± 1.01 Seed mc 5.25 ± 0.1","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Allophylus cobbe","Seed dried to a constant weight at 40°C prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Dimocarpus longan","Weight refers to seed with 19 % of its outer tissues removed; seed mc not stated, but weight is ...","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Dimocarpus longan","Fresh weight","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Pometia pinnata","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Pometia pinnata","Weight refers to wet mass of mature seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Stemonurus malaccensis","air dry","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Octomeles sumatrana","Weight refers to wet mass of mature seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Leea indica","air dry","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
