"binomial_name","family","genus","species","restoration","count","relative_abundance_percent","mean_DBH","mean_Height"
"Actinodaphne unknown mixed","Lauraceae","Actinodaphne","unknown mixed","AR",1,0.0459770114942529,156,11.4
"Actinodaphne unknown mixed","Lauraceae","Actinodaphne","unknown mixed","NR",1,0.0560852495793606,209,12.5
"Adenanthera kostermansii","Fabaceae","Adenanthera","kostermansii","AR",1,0.0459770114942529,371,30.3
"Adenanthera kostermansii","Fabaceae","Adenanthera","kostermansii","NR",2,0.112170499158721,185.5,22.3
"Adenanthera malayana","Fabaceae","Adenanthera","malayana","AR",1,0.0459770114942529,405,47.5
"Adinandra unknown mixed","Theaceae","Adinandra","unknown mixed","NR",1,0.0560852495793606,297,26.4
"Aglaia angustifolia","Meliaceae","Aglaia","angustifolia","AR",1,0.0459770114942529,260,18.7
"Aglaia argentea","Meliaceae","Aglaia","argentea","AR",1,0.0459770114942529,228,20.9
"Aglaia argentea","Meliaceae","Aglaia","argentea","NR",2,0.112170499158721,244.5,17.8
"Aglaia odoratissima","Meliaceae","Aglaia","odoratissima","AR",1,0.0459770114942529,130,9.4
"Aglaia odoratissima","Meliaceae","Aglaia","odoratissima","NR",1,0.0560852495793606,251,13.3
"Aglaia silvestris","Meliaceae","Aglaia","silvestris","AR",12,0.551724137931034,148.333333333333,16.8666666666667
"Aglaia silvestris","Meliaceae","Aglaia","silvestris","NR",8,0.448681996634885,174.5,14.6625
"Aglaia spectabilis","Meliaceae","Aglaia","spectabilis","AR",1,0.0459770114942529,110,14.1
"Aglaia spectabilis","Meliaceae","Aglaia","spectabilis","NR",1,0.0560852495793606,292,23.4
"Aglaia tomentosa","Meliaceae","Aglaia","tomentosa","AR",3,0.137931034482759,153.333333333333,17.9666666666667
"Aglaia tomentosa","Meliaceae","Aglaia","tomentosa","NR",2,0.112170499158721,166.5,10.05
"Aglaia unknown mixed","Meliaceae","Aglaia","unknown mixed","AR",23,1.05747126436782,218.608695652174,21.4391304347826
"Aglaia unknown mixed","Meliaceae","Aglaia","unknown mixed","NR",12,0.673022994952328,150.75,10.425
"Alangium javanicum","Cornaceae","Alangium","javanicum","AR",26,1.19540229885057,252.692307692308,24.7346153846154
"Alangium javanicum","Cornaceae","Alangium","javanicum","NR",24,1.34604598990466,221.541666666667,17.0666666666667
"Alseodaphne unknown mixed","Lauraceae","Alseodaphne","unknown mixed","AR",1,0.0459770114942529,367,30.8
"Alstonia angustifolia","Apocynaceae","Alstonia","angustifolia","AR",1,0.0459770114942529,201,16.1
"Alstonia angustifolia","Apocynaceae","Alstonia","angustifolia","NR",1,0.0560852495793606,179,12.4
"Anisophyllea corneri","Anisophylleaceae","Anisophyllea","corneri","AR",1,0.0459770114942529,172,11.9
"Anisophyllea corneri","Anisophylleaceae","Anisophyllea","corneri","NR",1,0.0560852495793606,213,17.5
"Anisoptera costata","Dipterocarpaceae","Anisoptera","costata","AR",7,0.32183908045977,413.285714285714,24.5571428571429
"Phyllanthaceae species 1","Antidesma species 1","Phyllanthaceae","species 1","NR",1,0.0560852495793606,122,10.9
"Antidesma unknown mixed","Phyllanthaceae","Antidesma","unknown mixed","AR",1,0.0459770114942529,157,13.9
"Aporosa elmeri","Phyllanthaceae","Aporosa","elmeri","AR",1,0.0459770114942529,203,17.7
"Aporosa elmeri","Phyllanthaceae","Aporosa","elmeri","NR",3,0.168255748738082,194.666666666667,17.1666666666667
"Aporosa falcifera","Phyllanthaceae","Aporosa","falcifera","AR",10,0.459770114942529,160.555555555556,17.4333333333333
"Aporosa falcifera","Phyllanthaceae","Aporosa","falcifera","NR",14,0.785193494111049,152.5,14.4285714285714
"Aporosa frutescens","Phyllanthaceae","Aporosa","frutescens","AR",1,0.0459770114942529,124,14.8
"Aporosa frutescens","Phyllanthaceae","Aporosa","frutescens","NR",2,0.112170499158721,134,11.35
"Aporosa grandistipula","Phyllanthaceae","Aporosa","grandistipula","AR",4,0.183908045977011,124.5,13.25
"Aporosa grandistipula","Phyllanthaceae","Aporosa","grandistipula","NR",2,0.112170499158721,121.5,13.35
"Aporosa illustris","Phyllanthaceae","Aporosa","illustris","AR",5,0.229885057471264,140.4,14.82
"Aporosa illustris","Phyllanthaceae","Aporosa","illustris","NR",3,0.168255748738082,160.666666666667,14.4333333333333
"Aporusa unknown mixed","Phyllanthaceae","Aporusa","unknown mixed","AR",1,0.0459770114942529,124,13.7
"Aporusa unknown mixed","Phyllanthaceae","Aporusa","unknown mixed","NR",1,0.0560852495793606,110,18
"Ardisia  unknown mixed","Primulaceae","Ardisia ","unknown mixed","AR",2,0.0919540229885057,196.5,20.55
"Artocarpus anisophyllus","Moraceae","Artocarpus","anisophyllus","NR",1,0.0560852495793606,219,16.6
"Artocarpus elasticus","Moraceae","Artocarpus","elasticus","NR",1,0.0560852495793606,587,27.3
"Artocarpus heterophyllus","Moraceae","Artocarpus","heterophyllus","AR",1,0.0459770114942529,496,28.8
"Artocarpus unknown mixed","Moraceae","Artocarpus","unknown mixed","AR",3,0.137931034482759,385.666666666667,29.0333333333333
"Atuna excelsa","Chrysobalanaceae","Atuna","excelsa","NR",1,0.0560852495793606,101,16.6
"Azadirachta excelsa","Meliaceae","Azadirachta","excelsa","AR",1,0.0459770114942529,245,28.7
"Baccaurea lanceolata","Phyllanthaceae","Baccaurea","lanceolata","AR",5,0.229885057471264,181,14.9
"Baccaurea lanceolata","Phyllanthaceae","Baccaurea","lanceolata","NR",1,0.0560852495793606,125,11
"Baccaurea tetrandra","Phyllanthaceae","Baccaurea","tetrandra","AR",20,0.919540229885057,158.95,14.14
"Baccaurea tetrandra","Phyllanthaceae","Baccaurea","tetrandra","NR",6,0.336511497476164,137.333333333333,10.4
"Baccaurea unknown mixed","Phyllanthaceae","Baccaurea","unknown mixed","AR",4,0.183908045977011,228.25,17.15
"Baccaurea unknown mixed","Phyllanthaceae","Baccaurea","unknown mixed","NR",1,0.0560852495793606,159,17
"Barringtonia lanceolata","Lecythidaceae ","Barringtonia","lanceolata","AR",5,0.229885057471264,170.6,16.44
"Barringtonia lanceolata","Lecythidaceae ","Barringtonia","lanceolata","NR",11,0.616937745372967,200.272727272727,16.0090909090909
"Barringtonia macrostachya","Lecythidaceae ","Barringtonia","macrostachya","AR",10,0.459770114942529,163.2,12.43
"Barringtonia macrostachya","Lecythidaceae ","Barringtonia","macrostachya","NR",11,0.616937745372967,214.090909090909,14.4363636363636
"Beilschmiedia ","Lauraceae","Beilschmiedia","","NR",4,0.224340998317443,248.5,19.475
"Beilschmiedia micrantha","Lauraceae","Beilschmiedia","micrantha","AR",1,0.0459770114942529,102,16.6
"Beilschmiedia micrantha","Lauraceae","Beilschmiedia","micrantha","NR",2,0.112170499158721,139.5,9.05
"Beilschmiedia tawaensis","Lauraceae","Beilschmiedia","tawaensis","AR",5,0.229885057471264,208,19.72
"Beilschmiedia tawaensis","Lauraceae","Beilschmiedia","tawaensis","NR",1,0.0560852495793606,158,16.3
"Beilschmiedia unknown mixed","Lauraceae","Beilschmiedia","unknown mixed","AR",1,0.0459770114942529,160,13
"Beilschmiedia unknown mixed","Lauraceae","Beilschmiedia","unknown mixed","NR",5,0.280426247896803,155.6,12.84
"Blumeodendron kurzii","Euphorbiaceae","Blumeodendron","kurzii","AR",2,0.0919540229885057,175,20.95
"Blumeodendron kurzii","Euphorbiaceae","Blumeodendron","kurzii","NR",1,0.0560852495793606,190,12.1
"Blumeodendron tokbrai","Euphorbiaceae","Blumeodendron","tokbrai","AR",3,0.137931034482759,219.666666666667,20.9
"Blumeodendron tokbrai","Euphorbiaceae","Blumeodendron","tokbrai","NR",1,0.0560852495793606,205,17.4
"Bridelia insulana","Phyllanthaceae","Bridelia","insulana","AR",1,0.0459770114942529,107,11.2
"Brownlowia peltata","Malvaceae","Brownlowia","peltata","AR",3,0.137931034482759,122.333333333333,9.46666666666667
"Brownlowia peltata","Malvaceae","Brownlowia","peltata","NR",9,0.504767246214246,123,6.9
"Brownlowia stipulata","Malvaceae","Brownlowia","stipulata","NR",1,0.0560852495793606,136,6.1
"Buchanania sessilifolia","Anacardiaceae","Buchanania","sessilifolia","NR",6,0.336511497476164,171.833333333333,18.1833333333333
"Callicarpa pentandra","Lamiaceae","Callicarpa","pentandra","AR",4,0.183908045977011,109.666666666667,11.5666666666667
"Callicarpa pentandra","Lamiaceae","Callicarpa","pentandra","NR",9,0.504767246214246,217.111111111111,12.9444444444444
"Callicarpa unknown mixed","Lamiaceae","Callicarpa","unknown mixed","AR",1,0.0459770114942529,444,15.7
"Calophyllum blancoi","Calophyllaceae","Calophyllum","blancoi","AR",2,0.0919540229885057,216.5,24.25
"Calophyllum blancoi","Calophyllaceae","Calophyllum","blancoi","NR",1,0.0560852495793606,145,16.9
"Calophyllum gracilipes","Calophyllaceae","Calophyllum","gracilipes","AR",1,0.0459770114942529,125,9.2
"Calophyllum soulattri","Calophyllaceae","Calophyllum","soulattri","NR",1,0.0560852495793606,146,17.8
"Canarium decumanum","Burseraceae","Canarium","decumanum","AR",9,0.413793103448276,254.444444444444,19.7888888888889
"Canarium decumanum","Burseraceae","Canarium","decumanum","NR",4,0.224340998317443,130.25,12.975
"Canarium denticulatum","Burseraceae","Canarium","denticulatum","AR",23,1.05747126436782,188.04347826087,16.1695652173913
"Canarium denticulatum","Burseraceae","Canarium","denticulatum","NR",53,2.97251822770611,199.547169811321,16.2622641509434
"Canarium odontophyllum","Burseraceae","Canarium","odontophyllum","AR",10,0.459770114942529,191.5,18.5
"Canarium odontophyllum","Burseraceae","Canarium","odontophyllum","NR",8,0.448681996634885,220.125,16.2625
"Canarium unknown mixed","Burseraceae","Canarium","unknown mixed","AR",1,0.0459770114942529,121,14
"Canarium unknown mixed","Burseraceae","Canarium","unknown mixed","NR",2,0.112170499158721,246.5,22.25
"Caryodaphnopsis tonkinensis","Lauraceae","Caryodaphnopsis","tonkinensis","AR",1,0.0459770114942529,320,21
"Caryodaphnopsis tonkinensis","Lauraceae","Caryodaphnopsis","tonkinensis","NR",5,0.280426247896803,171,14.08
"Casearia grewiifolia","Salicaceae","Casearia","grewiifolia","AR",1,0.0459770114942529,166,13.7
"Castanopsis hypophoenicea","Fagaceae","Castanopsis","hypophoenicea","AR",5,0.229885057471264,357.6,30.2
"Castanopsis hypophoenicea","Fagaceae","Castanopsis","hypophoenicea","NR",3,0.168255748738082,244,19.9666666666667
"Castanopsis motleyana","Fagaceae","Castanopsis","motleyana","NR",1,0.0560852495793606,207,36.4
"Chionanthus pluriflorus","Oleaceae","Chionanthus","pluriflorus","AR",4,0.183908045977011,160,16.7
"Chionanthus pluriflorus","Oleaceae","Chionanthus","pluriflorus","NR",9,0.504767246214246,187.666666666667,12.0333333333333
"Chionanthus unknown mixed","Oleaceae","Chionanthus","unknown mixed","NR",1,0.0560852495793606,172,22.5
"Chisocheton macranthus","Meliaceae","Chisocheton","macranthus","AR",36,1.6551724137931,196.555555555556,11.4888888888889
"Chisocheton macranthus","Meliaceae","Chisocheton","macranthus","NR",6,0.336511497476164,338.5,19.1666666666667
"Chisocheton patens","Meliaceae","Chisocheton","patens","NR",1,0.0560852495793606,112,11.1
"Chisocheton pentandrus","Meliaceae","Chisocheton","pentandrus","AR",2,0.0919540229885057,220.5,21.3
"Chisocheton sarawakanus","Meliaceae","Chisocheton","sarawakanus","AR",8,0.367816091954023,188.571428571429,20.7857142857143
"Chisocheton sarawakanus","Meliaceae","Chisocheton","sarawakanus","NR",13,0.729108244531688,213.615384615385,16.2538461538462
"Chisocheton unknown mixed","Meliaceae","Chisocheton","unknown mixed","AR",2,0.0919540229885057,131,10.4
"Chisocheton unknown mixed","Meliaceae","Chisocheton","unknown mixed","NR",4,0.224340998317443,182,15.475
"Cinnamomum iners","Lauraceae","Cinnamomum","iners","AR",1,0.0459770114942529,501,20.5
"Cinnamomum unknown mixed","Lauraceae","Cinnamomum","unknown mixed","NR",1,0.0560852495793606,193,16.7
"Clausena excavata","Rutaceae","Clausena","excavata","NR",1,0.0560852495793606,156,4.5
"Cleistanthus hirsutulus","Phyllanthaceae","Cleistanthus","hirsutulus","AR",6,0.275862068965517,122.166666666667,9.3
"Cleistanthus hirsutulus","Phyllanthaceae","Cleistanthus","hirsutulus","NR",4,0.224340998317443,123.5,10.95
"Cleistanthus oblongifolius","Phyllanthaceae","Cleistanthus","oblongifolius","AR",4,0.183908045977011,194.75,21.425
"Cleistanthus oblongifolius","Phyllanthaceae","Cleistanthus","oblongifolius","NR",2,0.112170499158721,183.5,20.85
"Cleistanthus podopyxis","Phyllanthaceae","Cleistanthus","podopyxis","AR",2,0.0919540229885057,143.5,6.85
"Cleistanthus unknown mixed","Phyllanthaceae","Cleistanthus","unknown mixed","AR",4,0.183908045977011,186,20.55
"Cleistanthus unknown mixed","Phyllanthaceae","Cleistanthus","unknown mixed","NR",1,0.0560852495793606,105,4.4
"Coelostegia borneensis","Malvaceae","Coelostegia","borneensis","AR",1,0.0459770114942529,298,20.8
"Cratoxylum unknown mixed","Hypericaceae","Cratoxylum","unknown mixed","AR",4,0.183908045977011,193.25,17.95
"Cratoxylum unknown mixed","Hypericaceae","Cratoxylum","unknown mixed","NR",2,0.112170499158721,153.5,21.25
"Croton argyratus","Euphorbiaceae","Croton","argyratus","NR",5,0.280426247896803,167,10.5
"Crudia tenuipes","Fabaceae","Crudia","tenuipes","AR",3,0.137931034482759,128.333333333333,15.4333333333333
"Crudia unknown mixed","Fabaceae","Crudia","unknown mixed","AR",1,0.0459770114942529,156,20.4
"Crudia unknown mixed","Fabaceae","Crudia","unknown mixed","NR",1,0.0560852495793606,138,10.3
"Cryptocarya ferrea","Lauraceae","Cryptocarya","ferrea","AR",8,0.367816091954023,186.875,18.9875
"Cryptocarya ferrea","Lauraceae","Cryptocarya","ferrea","NR",1,0.0560852495793606,214,18.7
"Cryptocarya pulchrinervia","Lauraceae","Cryptocarya","pulchrinervia","NR",2,0.112170499158721,248,18.2
"Cryptocarya strictifolia","Lauraceae","Cryptocarya","strictifolia","AR",2,0.0919540229885057,222,19.15
"Cryptocarya unknown mixed","Lauraceae","Cryptocarya","unknown mixed","AR",3,0.137931034482759,269.333333333333,24.6
"Cyathocalyx magnifructus","Annonaceae","Cyathocalyx","magnifructus","AR",1,0.0459770114942529,168,14.9
"Cynometra mirabilis","Fabaceae","Cynometra","mirabilis","NR",2,0.112170499158721,290.5,27.7
"Dacryodes rostrata","Burseraceae","Dacryodes","rostrata","AR",2,0.0919540229885057,147.5,18.85
"Dacryodes rugosa","Burseraceae","Dacryodes","rugosa","AR",1,0.0459770114942529,153,17.8
"Dacryodes rugosa","Burseraceae","Dacryodes","rugosa","NR",1,0.0560852495793606,178,9.5
"Dacryodes unknown mixed","Burseraceae","Dacryodes","unknown mixed","AR",5,0.229885057471264,243.4,19.92
"Dacryodes unknown mixed","Burseraceae","Dacryodes","unknown mixed","NR",1,0.0560852495793606,265,20.9
"Dehaasia caesia","Lauraceae","Dehaasia","caesia","AR",11,0.505747126436782,324.636363636364,20.4090909090909
"Dehaasia caesia","Lauraceae","Dehaasia","caesia","NR",5,0.280426247896803,172.4,13.48
"Dehaasia incrassata","Lauraceae","Dehaasia","incrassata","AR",4,0.183908045977011,289.25,17.6
"Dehaasia incrassata","Lauraceae","Dehaasia","incrassata","NR",6,0.336511497476164,123.333333333333,10.9166666666667
"Dehaasia unknown mixed","Lauraceae","Dehaasia","unknown mixed","AR",2,0.0919540229885057,160.5,16.8
"Dehaasia unknown mixed","Lauraceae","Dehaasia","unknown mixed","NR",2,0.112170499158721,219,9.95
"Dendrocnide elliptica","Urticaceae","Dendrocnide","elliptica","AR",2,0.0919540229885057,118.5,5.35
"Dendrocnide elliptica","Urticaceae","Dendrocnide","elliptica","NR",2,0.112170499158721,121,7.65
"Dendrocnide unknown mixed","Urticaceae","Dendrocnide","unknown mixed","NR",2,0.112170499158721,129,8.1
"Dillenia excelsa","Dilleniaceae","Dillenia","excelsa","AR",2,0.0919540229885057,164,14.1
"Dillenia excelsa","Dilleniaceae","Dillenia","excelsa","NR",8,0.448681996634885,149,11.6125
"Dillenia species 1","Dilleniaceae","Dillenia","species 1","NR",1,0.0560852495793606,120,6.4
"Dimocarpus dentatus","Sapindaceae","Dimocarpus","dentatus","AR",9,0.413793103448276,126.666666666667,9.53333333333333
"Dimocarpus dentatus","Sapindaceae","Dimocarpus","dentatus","NR",5,0.280426247896803,150,9.6
"Dimocarpus longan","Sapindaceae","Dimocarpus","longan","AR",4,0.183908045977011,171.5,14.625
"Dimocarpus longan","Sapindaceae","Dimocarpus","longan","NR",8,0.448681996634885,192.875,15.375
"Tritaxis denticulata","Euphorbiaceae","Tritaxis","denticulata","NR",7,0.392596747055524,118.714285714286,12.3571428571429
"Diospyros andamanica","Ebenaceae","Diospyros","andamanica","AR",8,0.367816091954023,227,16.5125
"Diospyros andamanica","Ebenaceae","Diospyros","andamanica","NR",7,0.392596747055524,263.428571428571,14.5285714285714
"Diospyros cauliflora","Ebenaceae","Diospyros","cauliflora","AR",3,0.137931034482759,159.666666666667,15.9666666666667
"Diospyros cauliflora","Ebenaceae","Diospyros","cauliflora","NR",3,0.168255748738082,190.333333333333,18.3
"Diospyros curranii","Ebenaceae","Diospyros","curranii","AR",2,0.0919540229885057,209.5,20.6
"Diospyros curranii","Ebenaceae","Diospyros","curranii","NR",2,0.112170499158721,106,11.15
"Diospyros dictyoneura","Ebenaceae","Diospyros","dictyoneura","NR",1,0.0560852495793606,315,24.6
"Diospyros elliptifolia","Ebenaceae","Diospyros","elliptifolia","AR",9,0.413793103448276,160.333333333333,12.2888888888889
"Diospyros elliptifolia","Ebenaceae","Diospyros","elliptifolia","NR",4,0.224340998317443,186.5,17.85
"Diospyros euphlehia","Ebenaceae","Diospyros","euphlehia","AR",1,0.0459770114942529,121,14.1
"Diospyros frutescens","Ebenaceae","Diospyros","frutescens","NR",2,0.112170499158721,128.5,10.1
"Diospyros peregrina","Ebenaceae","Diospyros","peregrina","AR",12,0.551724137931034,296.25,25.4916666666667
"Diospyros peregrina","Ebenaceae","Diospyros","peregrina","NR",20,1.12170499158721,224.4,16.365
"Diospyros muricata","Ebenaceae","Diospyros","muricata","AR",3,0.137931034482759,224.666666666667,15.6666666666667
"Diospyros oblonga","Ebenaceae","Diospyros","oblonga","AR",6,0.275862068965517,202.333333333333,20.0833333333333
"Diospyros oblonga","Ebenaceae","Diospyros","oblonga","NR",1,0.0560852495793606,224,19.5
"Diospyros toposia","Ebenaceae","Diospyros","toposia","AR",1,0.0459770114942529,120,10.8
"Diospyros toposia","Ebenaceae","Diospyros","toposia","NR",6,0.336511497476164,137.666666666667,11.4
"Diospyros tuberculata","Ebenaceae","Diospyros","tuberculata","AR",7,0.32183908045977,132.714285714286,12.3285714285714
"Diospyros tuberculata","Ebenaceae","Diospyros","tuberculata","NR",4,0.224340998317443,152,12.15
